SHSMA,HAM,HAS,ASH,MASH,MASS,SMASH
RPSEA,SPA,RAP,ARE,PARE,RASP,SPARE
ATRES,TEA,RAT,SAT,STAR,RATE,STARE
ETARC,CAT,RAT,TAR,CART,TEAR,CARET
BTALS,BAT,SAT,TAB,SLAB,LAST,BLAST
RDMEA,RED,ARM,MAD,DAME,READ,DREAM
ECNAR,CAN,ARC,RAN,ACNE,RACE,CRANE
NPELA,NAP,PAL,APE,LEAN,PLAN,PLANE
ETOSN,NOT,SON,TEN,TONE,ONES,STONE
MFLEA,FAM,ALE,ELM,LAME,MALE,FLAME
TRSPE,PET,SET,REP,STEP,PERT,PREST
CLOSP,COP,POS,LOP,COLS,LOPS,CLOPS
SALRT,SAT,RAT,ART,LAST,STAR,TRAIL
DRTEA,RED,EAT,ART,DATE,DEAR,TREAD
MAETS,EAT,MAT,SAT,SEAT,TEAM,MEATS
FLOST,FLO,LOT,OST,FLOS,LOST,FLOTS
BRANE,RAN,EAR,BAN,BEAR,NEAR,REBAN
CHTES,SET,THE,SEC,TECH,ETCH,CHEST
RLOPE,REP,POE,PER,LOPE,ROLE,REPEL
GRATE,RAG,GET,TEA,TARE,GEAR,GREAT
STEAR,ERA,ART,RAT,TEAR,RATE,STARE
SLATE,SAT,LET,TEA,LATE,SEAL,STEAL
RASTY,RAY,SAY,ART,TRAY,STAY,STRAY
RAEPL,APE,EAR,PAL,LEAP,REAL,PEARL
DRAET,RED,EAT,TAR,DEAR,DATE,TREAD
NRAET,RAN,EAT,TEN,NEAR,RENT,ARENT
PASTE,SAT,TAP,APE,STEP,SEAT,PESTA
STOLP,TOP,LOT,POT,SLOT,STOP,PLOTS
SNEAT,ANT,EAT,TEN,SEAT,SENT,NEATS
LAMPE,APE,PAL,EAM,LAME,MALE,AMPLE
SLERP,PER,REP,ELS,REEL,PEER,REPEL
SNTEA,EAT,TAN,ANT,SENT,SEAT,NEATS
TRSLA,RAT,SAT,ART,STAR,LAST,TRALS
LMEAP,APE,PAL,MAP,LAME,MALE,AMPLE
TEARS,ART,RAT,TEA,TEAR,RATE,STARE
NRAES,EAR,RAN,SAN,EARN,SANE,SNARE
STALR,SAT,TAR,ART,LAST,STAR,TRALS
STEAR,SET,RAT,ERA,TEAR,RATE,STARE
TRSEN,NET,TEN,SEN,RENT,SENT,STERN
PASTL,TAP,SAT,PAL,SLAP,PAST,PLAST
LAMTE,LET,TEA,MAT,LAME,MALE,METAL
TREMA,ERA,ARM,MAT,TEAM,TERM,MATER
NELAP,NAP,PAL,PEN,LEAN,PLAN,PLANE
TESAR,SET,TEA,RAT,SEAT,TEAR,STARE
SPLAT,SAT,TAP,PAL,SALT,SLAP,SPLAT
STALP,TAP,SAT,PAL,SLAP,SALT,PLAST
STORM,MOT,ROT,TOR,MOST,SORT,STORM
RAECL,ARC,EAR,ACE,CARE,RACE,CLEAR
TRANE,TAN,RAN,EAT,NEAT,TEAR,ANTRE
NPALE,NAP,APE,PAL,LEAN,PLAN,PLANE
STEAR,ART,RAT,SET,TEAR,RATE,STARE
RAPSE,SPA,ARE,RAP,PARE,RASP,SPARE
NPAEL,NAP,PAL,APE,LEAN,PLAN,PLANE
TREAS,ERA,RAT,SET,TEAR,RATE,STARE
SLPET,SET,LET,PET,STEP,LEST,SLEPT
LAMPE,APE,MAP,PAL,LAME,MALE,AMPLE
CRANE,ARC,RAN,CAN,RACE,ACNE,CRANE
PLAST,TAP,PAL,SAT,SLAP,PAST,SPLAT
DRTEA,EAT,RED,TAR,TEAR,DATE,TREAD
TRSEL,SET,LET,ELS,LEST,REST,TRELS
RAEPL,APE,EAR,PAL,LEAP,REAL,PEARL
TRALS,ART,RAT,SAT,STAR,LAST,TRALS
PLATE,APE,PAL,TAP,LATE,LEAP,PLATE
STRAN,RAN,ART,SAT,STAR,RANT,TRANS
RASTY,RAY,SAY,ART,TRAY,STAY,STRAY
STANE,ANT,EAT,TEN,NEAT,SEAT,STANE
SLERT,SET,LET,ELS,REST,LEST,STREL
STERN,TEN,NET,SEN,RENT,SENT,STERN
LAMTE,LET,TEA,MAT,LAME,MALE,METAL
NPALE,NAP,APE,PAL,LEAN,PLAN,PLANE
STRAP,SAT,TAP,RAP,PART,TRAP,STRAP
TREAD,EAT,RED,TAR,DATE,DEAR,TREAD
CRANE,CAN,RAN,ARC,ACNE,RACE,CRANE
RAECL,ARC,EAR,ACE,RACE,CARE,CLEAR
TREMA,ERA,ARM,MAT,TEAM,TERM,MATER
PASTE,TAP,SAT,APE,SEAT,STEP,PESTA
STEAR,SET,ERA,RAT,TEAR,RATE,STARE
SPLAT,SAT,PAL,TAP,SALT,SLAP,SPLAT
LMEAP,APE,PAL,MAP,LAME,MALE,AMPLE
TRANE,TAN,RAN,EAT,NEAT,TEAR,ANTRE
STREL,SET,LET,ELS,REST,LEST,TRELS
RASTE,RAT,ART,ERA,TEAR,SEAT,STARE
LAMET,LET,TEA,MAT,LAME,MALE,METAL
TRSEN,TEN,NET,SEN,RENT,SENT,STERN
PLANE,NAP,PAL,APE,LEAN,PLAN,PLANE
CRANE,ARC,RAN,CAN,ACNE,RACE,CRANE
STRAP,TAP,SAT,RAP,TRAP,PART,STRAP
SLATE,LET,EAT,SAT,LATE,SEAL,SLATE
STARN,RAN,ART,SAT,STAR,RANT,TRANS
TREMA,ERA,ARM,MAT,TEAM,TERM,MATER
LAMPE,MAP,APE,PAL,LAME,MALE,AMPLE
SPALT,TAP,SAT,PAL,SLAP,SALT,SPLAT
TRALS,SAT,ART,RAT,STAR,LAST,TRALS
RAEPL,EAR,PAL,APE,REAL,LEAP,PEARL
NPAEL,NAP,PAL,APE,PLAN,LEAN,PLANE
FLOST,FLO,LOT,OST,LOST,FLOS,FLOTS
STEAR,TEA,RAT,ART,TEAR,RATE,STARE
RAPSE,SPA,ARE,RAP,RASP,PARE,SPARE
STALR,SAT,TAR,ART,STAR,LAST,TRALS
BRANE,RAN,EAR,BAN,BEAR,NEAR,REBAN
